Cabinas,T Total,Tasa Llegada,Tasa Servicio,T promedio espera,Autos atendidos,Ocupación promedio (%)
3,300,0.25,0.25,2.897756701646236,76,32.9004329004329
3,300,0.25,0.25,3.526840005590674,76,32.9004329004329
3,300,0.25,0.33,3.362592121639463,69,32.85714285714286
3,300,0.25,0.33,2.469326104597748,74,32.888888888888886
3,300,0.25,0.33,2.652479305867832,48,33.33333333333333
3,300,0.25,0.33,2.5788967355515133,93,33.333333333333336
3,300,0.25,0.33,3.246776312051824,82,33.333333333333336
3,300,0.25,0.33,3.1784232249024047,74,32.4561403508772
3,300,0.25,0.33,1.9634317057147528,62,32.804232804232804
3,300,0.25,0.33,3.2548334059169606,82,32.93172690763052
3,300,0.25,0.33,2.699049081239406,93,33.333333333333336
3,300,0.25,0.33,3.016342431876098,69,33.333333333333336
4,300,0.2,0.25,3.737646211851793,56,24.13793103448276
4,300,0.2,0.25,2.6496789999283643,52,24.528301886792452
4,300,0.2,0.25,3.9653194278425055,55,24.55357142857143
4,300,0.2,0.25,3.3941540755985966,63,24.609375
4,300,0.2,0.25,3.4956164216728465,57,24.568965517241374
4,300,0.2,0.25,3.7897524672782885,77,24.67948717948718
4,300,0.2,0.25,4.59136817955336,70,24.647887323943664
4,300,0.2,0.25,4.955221604481077,52,24.528301886792455
4,300,0.2,0.25,3.8260883359618645,76,24.675324675324674
4,300,0.2,0.25,4.2237905203968955,70,24.64788732394366
4,300,0.2,0.33,3.544819807508114,69,25.0
4,300,0.2,0.33,3.5509980724129955,58,24.166666666666668
4,300,0.2,0.33,3.0482364835449705,52,24.528301886792455
4,300,0.2,0.33,2.6858805058241724,65,24.62121212121212
4,300,0.2,0.33,2.6340017605244728,66,24.62686567164179
4,300,0.2,0.33,2.745859737728619,66,25.0
4,300,0.2,0.33,3.6566351692521604,55,24.999999999999996
4,300,0.2,0.33,2.5799674175415372,48,24.48979591836735
4,300,0.2,0.33,2.86977568213827,50,25.0
4,300,0.2,0.33,2.9544319001494275,56,24.561403508771928
4,300,0.25,0.25,3.556877985557955,73,24.66216216216216
4,300,0.25,0.25,4.749220334668096,84,24.41860465116279
4,300,0.25,0.25,4.0216196916507325,65,24.25373134328358
4,300,0.25,0.25,5.1702429546089315,87,24.715909090909093
4,300,0.25,0.25,3.4364092209552823,59,24.583333333333332
4,300,0.25,0.25,4.000600298482498,91,24.72826086956522
4,300,0.25,0.25,4.072795398258161,80,25.0
4,300,0.25,0.25,4.454777025494527,80,24.691358024691358
4,300,0.25,0.25,3.5961329164421727,71,23.666666666666668
4,300,0.25,0.25,3.473584056228102,73,24.33333333333333
4,300,0.25,0.33,3.265579161890677,82,24.404761904761905
4,300,0.25,0.33,2.6760387368415532,79,24.382716049382715
4,300,0.25,0.33,2.9859130664629934,75,24.671052631578945
4,300,0.25,0.33,3.106583486703527,82,25.000000000000004
4,300,0.25,0.33,3.2348796374141946,66,24.62686567164179
4,300,0.25,0.33,3.3050481994662877,78,25.0
4,300,0.25,0.33,3.0686264407822645,70,25.0
4,300,0.25,0.33,3.1714687200518257,81,24.397590361445783
4,300,0.25,0.33,3.5163207421041784,73,24.333333333333336
4,300,0.25,0.33,3.5026929026970848,63,24.609375
2,500,0.2,0.25,4.587410856495547,100,49.5049504950495
2,500,0.2,0.25,3.640500526037944,99,49.5
2,500,0.2,0.25,4.637302254644838,93,49.468085106382986
2,500,0.2,0.25,3.5231040602053114,103,49.047619047619044
2,500,0.2,0.25,4.392654353186302,87,50.0
2,500,0.2,0.25,5.060266069193588,98,49.494949494949495
2,500,0.2,0.25,4.46702674390903,94,49.473684210526315
2,500,0.2,0.25,4.272051007569132,86,50.0
2,500,0.2,0.25,5.8369377511837195,108,49.54128440366973
2,500,0.2,0.25,4.202890931667914,89,49.44444444444445
2,500,0.2,0.33,3.7880689995051005,91,49.45652173913044
2,500,0.2,0.33,3.8696478952825544,104,49.523809523809526
2,500,0.2,0.33,3.212173861020036,96,49.48453608247422
2,500,0.2,0.33,3.464552524967759,83,50.0
2,500,0.2,0.33,2.856225785532827,80,49.382716049382715
2,500,0.2,0.33,3.732166427411071,99,49.5
2,500,0.2,0.33,3.890674159620029,105,49.52830188679245
2,500,0.2,0.33,2.8580633691174944,106,49.99999999999999
2,500,0.2,0.33,3.7714418280947775,91,49.45652173913044
2,500,0.2,0.33,3.2125812046466207,129,49.23664122137404
2,500,0.25,0.25,4.9692604729913405,121,49.59016393442623
2,500,0.25,0.25,5.183084283641245,140,50.0
2,500,0.25,0.25,4.3750304962448485,122,49.59349593495935
2,500,0.25,0.25,5.433580060598185,126,49.60629921259842
2,500,0.25,0.25,4.657918362921049,124,49.2063492063492
