Cabinas,Tiempo Total,Tasa Llegada,Tasa Servicio,Tiempo promedio espera,Autos atendidos,Ocupación promedio (%)
3,300,0.25,0.25,0.264619564487115,73,28.808113976900028
3,300,0.25,0.25,0.07455471249632789,75,29.812868411888545
3,300,0.25,0.25,1.0512335394303352,91,41.47824449563462
3,300,0.25,0.25,0.014828294836803977,57,20.037746319960643
3,300,0.25,0.25,0.43581382675209457,70,36.300054934443345
3,300,0.25,0.25,0.36881409600595233,78,36.87159668980394
3,300,0.2,0.333,0.001659728279744971,73,22.466427257591494
3,300,0.2,0.333,0.0,66,20.554267271028802
3,300,0.2,0.333,0.01497363962212251,58,20.487238065080486
3,300,0.2,0.333,0.08199812242527607,62,17.746608040510615
3,300,0.2,0.333,0.10610954995769341,69,23.74523603715369
3,300,0.2,0.333,0.05383327430087492,64,23.92241277254455
3,300,0.2,0.333,0.2175897753429794,64,22.708905839575948
3,300,0.2,0.333,0.12735434774928253,69,28.16475796951609
3,300,0.2,0.333,0.05528240758442081,61,21.79396152467749
3,300,0.2,0.333,0.011674477385469118,67,21.857698918688943
3,300,0.2,0.25,0.24507637608329433,50,23.916056888002633
3,300,0.2,0.25,0.17604025256979586,59,27.34385257906075
3,300,0.2,0.25,0.0,58,24.540981399762757
3,300,0.2,0.25,0.02769450697603466,57,23.778046801130994
3,300,0.2,0.25,0.11628882007317036,65,27.702175767826322
3,300,0.2,0.25,0.10580088080370328,44,22.88558322022494
3,300,0.2,0.25,0.0,61,29.485898469852426
3,300,0.2,0.25,0.06411984764371527,46,19.09608400659145
3,300,0.2,0.25,0.09078104229788041,56,24.048666108140875
3,300,0.2,0.25,0.0,52,21.15521361637394
3,500,0.25,0.333,0.04531770071448245,115,21.01359423159924
3,500,0.25,0.333,0.012566284395666821,129,19.39819591466299
3,500,0.25,0.333,0.043015276423995864,108,20.957172700269073
3,500,0.25,0.333,0.04593294221054146,124,26.995418373154795
3,500,0.25,0.333,0.01442777887649539,115,22.140634876248694
3,500,0.25,0.333,0.05878994318988458,129,25.943040779811025
3,500,0.25,0.333,0.381077184786311,131,26.393028907020256
3,500,0.25,0.333,0.05990666778917393,138,30.32021350809085
3,500,0.25,0.333,0.05646781920753661,120,28.22609598635076
3,500,0.25,0.333,0.0013415096913069154,120,22.04665509384297
3,500,0.25,0.25,0.2533383465351912,133,37.56485385370507
3,500,0.25,0.25,0.060592800988381844,114,27.84290757712009
3,500,0.25,0.25,0.03279047196484216,112,28.405675310994564
3,500,0.25,0.25,0.10472134570345583,102,32.355600712904916
